Record ID ,Division,SectionID,PWI,OHEMas,TRDFeature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,,,Satellites,ModifiedDate,
88,ADI,KLL-GNC,,005/10,ACC,,,,23.24844,72.54844,21.45792,,,,5,03-06-2018 11:57
89,ADI,KLL-GNC,,005/11,ACA,,,,23.24877,72.549,22.098,,,,11,03-06-2018 11:56
90,ADI,KLL-GNC,,005/12,,,,,23.24908,72.54962,20.69592,,,,11,03-06-2018 11:54
91,ADI,KLL-GNC,,005/13,,LC NO 4,,,23.24938,72.55008,22.92096,,,,10,03-06-2018 11:40
92,ADI,KLL-GNC,,005/14,,,,,23.24964,72.55052,22.7076,,,,9,03-06-2018 11:39
93,ADI,KLL-GNC,,005/15,,,,,23.24992,72.551,22.86,,,,9,03-06-2018 11:38
94,ADI,KLL-GNC,,005/16,,,,,23.25019,72.55145,22.86,,,,11,03-06-2018 11:37
95,ADI,KLL-GNC,,006/1,,LC NO 5,,,23.25044,72.55195,22.46376,,,,11,03-06-2018 11:35
96,ADI,KLL-GNC,,006/2,,,,,23.25066,72.55238,21.61032,,,,9,03-06-2018 11:34
97,ADI,KLL-GNC,,006/3,ATD,,,,23.251,72.5529,21.42744,,,,7,03-06-2018 11:33
98,ADI,KLL-GNC,,006/4,UIOL,,,,23.25131,72.55345,21.73224,,,,9,03-06-2018 11:32
99,ADI,KLL-GNC,,006/5,UIOL,,,,23.25164,72.554,22.73808,,,,11,03-06-2018 11:30
100,ADI,KLL-GNC,,006/6,ATD,,,,23.25191,72.55454,22.52472,,,,9,03-06-2018 11:29
101,ADI,KLL-GNC,,006/7,,,,,23.25224,72.55511,22.03704,,,,6,03-06-2018 11:28
102,ADI,KLL-GNC,,006/8,,,,,23.25262,72.55566,20.90928,,,,8,03-06-2018 11:26
103,ADI,KLL-GNC,,006/9,,,,,23.25289,72.55619,20.36064,,,,11,03-06-2018 11:25
104,ADI,KLL-GNC,,006/10,,,,,23.2532,72.55675,21.39696,,,,11,03-06-2018 11:24
105,ADI,KLL-GNC,,006/11,ATD,,,,23.25348,72.55732,21.73224,,,,10,03-06-2018 11:22
106,ADI,KLL-GNC,,006/12,IOL,,,,23.25379,72.55779,23.13432,,,,7,03-06-2018 11:21
107,ADI,KLL-GNC,,006/13,IOL,,,,23.25402,72.55821,22.34184,,,,11,03-06-2018 11:20
108,ADI,KLL-GNC,,006/14,SM 242,,,,23.25425,72.55862,22.21992,,,,10,03-06-2018 11:19
109,ADI,KLL-GNC,,006/15,ACC,LC NO 6,,,23.25449,72.55904,21.39696,,,,7,03-06-2018 11:18
110,ADI,KLL-GNC,,006/16,ACA,,,,23.2547,72.55939,21.9456,,,,10,03-06-2018 11:17
111,ADI,KLL-GNC,,007/1,ATD,,,,23.25503,72.55994,19.78152,,,,5,03-06-2018 11:15
112,ADI,KLL-GNC,,007/2,UIOL,,,,23.25527,72.56038,22.46376,,,,10,03-06-2018 11:14
113,ADI,KLL-GNC,,007/3,ATD,,,,23.2555,72.56081,23.10384,,,,8,03-06-2018 11:13
114,ADI,KLL-GNC,,007/4,,,,,23.2557,72.56116,24.44496,,,,9,03-06-2018 11:12
115,ADI,KLL-GNC,,007/5,IOL,,,,23.25594,72.56146,21.27504,,,,8,03-06-2018 11:09
116,ADI,KLL-GNC,,007/6,IOL/SM 241,,,,23.2561,72.56184,21.0312,,,,6,03-06-2018 11:08
