Record id ,Division,Section ,PWI ,OHEMas,OHE Feature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
186,ADI,SBT-ADI,,496/52 L2,,,,,23.03941,72.59959,20.8788,,,11,03-01-2018 12:06
187,ADI,SBT-ADI,,496/51D L3 ,,,,,23.03914,72.59965,15.42288,,,5,03-01-2018 11:48
188,ADI,SBT-ADI,,496/51 L2,,,,,23.03919,72.59963,15.57528,,,8,03-01-2018 11:48
189,ADI,SBT-ADI,,496/52 L1,,,,,23.03922,72.59958,15.8496,,,7,03-01-2018 11:49
190,ADI,SBT-ADI,,496/50 L1,,ROB/ASV,,,23.039,72.59971,15.8496,,,7,03-01-2018 11:46
191,ADI,SBT-ADI,,496/49 L2,,,,,23.03898,72.59977,16.21536,,,6,03-01-2018 11:46
192,ADI,SBT-ADI,,496/48 L1,FTA,,,,23.03848,72.60004,17.61744,,,9,03-01-2018 11:44
193,ADI,SBT-ADI,,496/47D L3,,ROB,,,23.0388,72.59991,17.03832,,,9,03-01-2018 11:45
194,ADI,SBT-ADI,,496/47 L2,,,,,23.03846,72.60009,17.16024,,,9,03-01-2018 11:43
195,ADI,SBT-ADI,,496/45D L3,,,,,23.03828,72.60019,16.27632,,,9,03-01-2018 11:42
196,ADI,SBT-ADI,,496/45 L2,,,,,23.03807,72.60036,16.85544,,,7,03-01-2018 11:41
197,ADI,SBT-ADI,,496/44 L1,,,,,23.03812,72.60029,16.4592,,,8,03-01-2018 11:42
198,ADI,SBT-ADI,,496/43D L3,,,,,23.03803,72.60042,16.64208,,,10,03-01-2018 11:41
199,ADI,SBT-ADI,,496/42 L1,,,,,23.0378,72.60052,16.39824,,,9,03-01-2018 11:40
200,ADI,SBT-ADI,,496/41D L3,X-OVER,"POINT 325,324",,,23.0376,72.60068,15.42288,,,8,03-01-2018 11:39
201,ADI,SBT-ADI,,496/41 L2,SM 171,,,,23.03759,72.60065,15.51432,,,7,03-01-2018 11:38
202,ADI,SBT-ADI,,496/39D L3,,,,,23.03722,72.6009,16.24584,,,8,03-01-2018 11:36
203,ADI,SBT-ADI,,496/40 L1,,,,,23.03746,72.60069,15.97152,,,8,03-01-2018 11:38
204,ADI,SBT-ADI,,496/39 L2,,,,,23.03728,72.60087,16.1544,,,8,03-01-2018 11:37
205,ADI,SBT-ADI,,496/38 L1,,,,,23.03709,72.60085,16.58112,,,8,03-01-2018 11:35
206,ADI,SBT-ADI,,496/37 L2,,,,,23.03698,72.601,17.25168,,,7,03-01-2018 11:33
207,ADI,SBT-ADI,,496/36 L1,IOL,,,,23.03681,72.60103,16.58112,,,8,03-01-2018 11:34
208,ADI,SBT-ADI,,496/35 L2,,,,,23.03658,72.60113,16.06296,,,6,03-01-2018 11:31
209,ADI,SBT-ADI,,496/34 L1,IOL,,,,23.0365,72.60111,15.66672,,,9,03-01-2018 11:30
